80	8
81	10
82	21
83	35
84	55
85	71
86	103
87	144
88	177
89	233
90	281
91	335
92	422
93	578
94	759
95	1019
96	1228
97	1408
98	1789
99	2352
100	2921
101	3605
102	4313
103	4932
104	5373
105	6159
106	7097
107	7978
108	8958
109	9875
110	10612
111	11329
112	12107
113	12868
114	13729
115	14576
116	15464
117	16060
118	16509
119	17337
120	18100
121	18738
122	19506
123	23635
124	24055
125	24393
126	25302
127	26097
128	26771
129	27510
130	28131
131	28446
132	28734
133	29427
134	30076
135	30615
136	31241
137	31587
138	31855
139	32065
140	32692
141	33186
142	33186
143	33614
144	33998
145	34466
146	34636
147	34796
148	35341
149	35704
150	36042
151	36393
152	36675
153	36793
154	36914
155	37048
156	37460
157	38220
158	38593
159	38819
160	38934
161	39045
162	39369
163	39728
164	39904
165	40261
166	40465
167	40542
168	40597
169	40883
170	41128
171	41279
172	41481
173	41662
174	41698
175	41736
176	41969
177	42153
178	42288
179	42461
180	42589
181	42632
182	42647
183	42927
184	43081
185	43230
186	43414
187	43514
188	43550
189	43575
190	43730
191	43906
192	43995
193	44131
194	44198
195	44220
196	44236
197	44391
198	44517
199	44602
200	44650
201	44798
202	44819
203	44830
204	44968
205	45053
206	45119
207	45119
208	45318
209	45318
210	45318
211	45318
212	45318
213	45318
214	45677
215	45738
216	45752
217	45759
218	45878
219	45961
220	45999
221	46119
222	46193
223	46201
